year,total_forcing_wm2,n2o_forcing_wm2,ch4_forcing_wm2,co2_forcing_wm2,n2o_concentration_ppb,ch4_concentration_ppb,co2_concentration_ppm,n2o_emissions_tg,ch4_emissions_tg,c_emissions_pg
2000,1.72349,.14452,.48518,1.54279,315.85,1751.0225,368.865,11.71767,300.43783,7.8838
2001,1.760074000000003,.1468979999999993,.485364,1.572190000000006,316.5679999999998,1751.565,370.8544999999999,11.78916999999998,308.0562900000004,8.140339999999981
2002,1.796658000000008,.1492759999999995,.485548,1.601590000000009,317.2859999999998,1752.1075,372.8440000000001,11.86067,315.6747500000001,8.396879999999953
2003,1.833241999999998,.1516539999999997,.485732,1.630990000000004,318.0039999999999,1752.65,374.8334999999997,11.93216999999999,323.2932099999998,8.653419999999926
2004,1.869826000000003,.1540319999999999,.485916,1.660390000000007,318.7219999999998,1753.1925,376.8229999999999,12.00367,330.9116700000013,8.909959999999899
2005,1.90641,.15641,.4861,1.68979,319.44,1753.735,378.8125,12.07517,338.53013,9.166499999999999
2006,1.956017999999986,.1586760000000007,.488324,1.719894000000004,320.1642259999999,1758.72298,380.9148320000004,12.22241400000001,344.7579339999993,9.327079999999967
2007,2.005625999999992,.1609420000000004,.490548,1.749997999999998,320.8884519999999,1763.71096,383.0171639999999,12.36965800000002,350.9857379999994,9.487660000000005
2008,2.055233999999999,.163208,.492772,1.780101999999999,321.612678,1768.69894,385.1194960000003,12.51690200000002,357.2135419999995,9.648239999999987
2009,2.104841999999991,.1654740000000006,.494996,1.810206000000001,322.336904,1773.68692,387.2218280000006,12.66414599999996,363.4413459999996,9.808819999999969
2010,2.15445,.16774,.49722,1.84031,323.06113,1778.6749,389.32416,12.81139,369.66915,9.9694
2011,2.205472999999998,.1704270000000001,.5027059999999999,1.876913000000002,323.9064580000002,1793.174510000001,391.9697660000002,13.03179799999998,376.5850859999991,10.21686
2012,2.256495999999999,.173114,.5081920000000011,1.913516000000001,324.751786,1807.67412,394.6153720000002,13.252206,383.5010220000004,10.46431999999999
2013,2.307518999999999,.1758009999999999,.5136780000000005,1.950119000000001,325.5971140000001,1822.173730000002,397.2609780000003,13.47261399999996,390.4169579999998,10.71178000000003
2014,2.358542,.1784880000000006,.519164,1.986722,326.442442,1836.673340000001,399.9065840000003,13.69302199999998,397.3328939999992,10.95924000000002
2015,2.409565000000001,.1811750000000005,.5246499999999994,2.023325,327.2877700000001,1851.17295,402.5521900000003,13.91343000000001,404.2488299999986,11.20670000000001
2016,2.460588000000001,.1838620000000004,.5301360000000006,2.059927999999999,328.133098,1865.672560000003,405.1977960000004,14.13383799999997,411.1647659999999,11.45416
2017,2.511611000000002,.1865490000000003,.535622,2.096530999999999,328.9784260000001,1880.172170000002,407.8434020000004,14.35424599999999,418.0807019999993,11.70161999999999
2018,2.562633999999989,.1892360000000002,.5411079999999995,2.133133999999998,329.823754,1894.671780000001,410.4890079999996,14.57465400000001,424.9966379999987,11.94907999999998
2019,2.613656999999989,.1919230000000001,.5465940000000007,2.169736999999998,330.6690820000001,1909.17139,413.1346139999996,14.79506199999997,431.9125739999999,12.19654000000003
2020,2.66468,.19461,.55208,2.20634,331.51441,1923.671,415.78022,15.01547,438.82851,12.444
2021,2.725845000000007,.1978680000000006,.5594030000000014,2.248317999999998,332.5589809999999,1944.505250000002,419.0856830000002,15.20775000000003,444.8397899999982,12.65500000000003
2022,2.787010000000009,.2011260000000004,.566726000000001,2.290295999999998,333.6035519999998,1965.339500000002,422.3911459999999,15.40003000000002,450.8510699999988,12.86600000000004
2023,2.848175000000012,.2043840000000001,.5740490000000005,2.332273999999998,334.6481230000002,1986.173750000002,425.6966089999996,15.59231,456.8623499999994,13.07700000000006
2024,2.90934,.2076420000000008,.5813720000000018,2.374251999999998,335.6926940000001,2007.008000000002,429.0020720000002,15.78459000000004,462.8736299999982,13.28800000000001
2025,2.970505000000003,.2109000000000005,.5886950000000013,2.416229999999999,336.737265,2027.842250000002,432.3075349999999,15.97687000000002,468.8849099999989,13.49900000000002
