year,total_forcing_wm2,n2o_forcing_wm2,ch4_forcing_wm2,co2_forcing_wm2,n2o_concentration_ppb,ch4_concentration_ppb,co2_concentration_ppm,n2o_emissions_tg,ch4_emissions_tg,c_emissions_pg
2000,1.72349,.14452,.48518,1.54279,315.85,1751.0225,368.865,11.71751,300.41073,7.8838
2001,1.759016000000003,.1468979999999993,.485364,1.572190000000006,316.5679999999998,1751.565,370.8544999999999,11.78900999999999,303.0576079999992,8.140339999999981
2002,1.794541999999993,.1492759999999995,.485548,1.601590000000009,317.2859999999998,1752.1075,372.8440000000001,11.86051,305.7044859999996,8.396879999999953
2003,1.830067999999997,.1516539999999997,.485732,1.630990000000004,318.0039999999999,1752.65,374.8334999999997,11.93200999999999,308.3513639999992,8.653419999999926
2004,1.865594000000002,.1540319999999999,.485916,1.660390000000007,318.7219999999998,1753.1925,376.8229999999999,12.00351000000001,310.9982419999997,8.909959999999899
2005,1.90112,.15641,.4861,1.68979,319.44,1753.735,378.8125,12.07501,313.64512,9.166499999999999
2006,1.938624000000004,.158684,.4873919999999998,1.718933999999997,320.1662939999999,1756.7256,380.8642999999993,12.23256199999997,315.4197060000001,9.210980000000006
2007,1.976128000000017,.1609580000000008,.4886840000000001,1.748078,320.8925879999999,1759.7162,382.9160999999995,12.39011399999998,317.1942920000001,9.255460000000014
2008,2.013632000000015,.1632320000000007,.489976,1.777222000000002,321.618882,1762.7068,384.9678999999996,12.54766599999999,318.9688780000001,9.299940000000007
2009,2.051136000000014,.1655060000000006,.4912679999999998,1.806365999999997,322.345176,1765.6974,387.0196999999998,12.705218,320.7434640000001,9.34442
2010,2.08864,.16778,.49256,1.83551,323.07147,1768.688,389.0715,12.86277,322.51805,9.3889
2011,2.127780000000001,.170007,.4930819999999999,1.863629000000003,323.784498,1770.39833,391.1003759999999,12.82257299999999,321.2804300000003,9.385679999999999
2012,2.16691999999999,.1722339999999996,.493604,1.891748,324.4975260000001,1772.10866,393.1292520000002,12.782376,320.0428100000004,9.382459999999998
2013,2.206059999999994,.174461,.494126,1.919867000000004,325.210554,1773.81899,395.158128,12.74217899999999,318.8051900000005,9.379239999999999
2014,2.245199999999997,.1766879999999995,.4946479999999999,1.947986,325.9235820000001,1775.529320000001,397.1870039999999,12.701982,317.5675700000002,9.37602
2015,2.28434,.1789149999999999,.49517,1.976105000000004,326.63661,1777.23965,399.2158800000002,12.66178499999999,316.3299500000003,9.3728
2016,2.323479999999989,.1811419999999995,.4956919999999999,2.004224000000001,327.3496380000001,1778.94998,401.2447560000001,12.621588,315.0923300000004,9.369579999999999
2017,2.362619999999993,.1833689999999999,.496214,2.032343000000004,328.062666,1780.66031,403.2736319999999,12.581391,313.8547100000005,9.36636
2018,2.401759999999996,.1855959999999994,.496736,2.060462000000001,328.7756940000002,1782.37064,405.3025080000002,12.54119399999999,312.6170900000002,9.36314
2019,2.440899999999999,.1878229999999999,.4972579999999999,2.088580999999998,329.4887220000001,1784.08097,407.3313840000001,12.500997,311.3794700000003,9.359919999999999
2020,2.48004,.19005,.49778,2.1167,330.20175,1785.7913,409.36026,12.4608,310.14185,9.3567
2021,2.517391000000003,.192228000000001,.498201,2.142402000000004,330.8974369999999,1786.80453,411.3118629999999,12.60039,311.6436229999999,9.364819999999998
