year,c_emissions_pg,ch4_emissions_tg,n2o_emissions_tg,total_forcing_wm2
1886,.89814412,98.696624,.82619361,.2188119999999998
1887,.91116314,101.56406,.83219647,.2234590000000001
1888,.94173355,104.43149,.83705812,.2281060000000004
1889,.94020019,107.29892,.84143987,.2327530000000007
1890,.96775411,110.16635,.8455254800000001,.2374
1891,.9822485400000001,111.52362,.85098169,.2378809999999999
1892,.99719118,112.88089,.85741997,.238362
1893,.9944033000000001,114.23816,.86475824,.2388429999999999
1894,1.02336718,115.59543,.87294487,.239324
1895,1.0504185,116.9527,.88188195,.2398049999999999
1896,1.06527839,118.30997,.89141802,.2402859999999999
1897,1.08956411,119.66724,.90140157,.240767
1898,1.11600097,121.02451,.91168111,.2412479999999999
1899,1.15920445,122.38178,.92210515,.241729
1900,1.18720627,123.73905,.9325222,.24221
1901,1.25494317,124.8415,.9446669,.2473639999999993
1902,1.26897363,125.94396,.95993065,.2525179999999985
1903,1.34367095,127.04642,.97764708,.2576719999999995
1904,1.37229323,128.14887,.99722904,.2628259999999987
1905,1.4328152,129.25133,1.0181293,.2679799999999997
1906,1.50353383,130.35378,1.0397413,.2731339999999989
1907,1.58776273,131.45624,1.0614586,.2782879999999999
1908,1.56141277,132.5587,1.0826746,.2834419999999991
1909,1.60237806,133.66115,1.1027829,.2885960000000001
1910,1.64098168,134.76361,1.121177,.29375
1911,1.61489404,135.96943,1.1389722,.3026920000000004
1912,1.62684843,137.17525,1.1575596,.3116340000000015
1913,1.66597976,138.38107,1.1767464,.3205759999999991
1914,1.56479151,139.5869,1.1962611,.3295180000000002
1915,1.54374963,140.79272,1.2158443,.3384600000000013
1916,1.60911647,141.99854,1.2353217,.3474019999999989
1917,1.66619629,143.20436,1.254519,.356344
1918,1.65030426,144.41019,1.2732618,.3652860000000011
1919,1.52565434,145.61601,1.2913759,.3742280000000022
1920,1.65328337,146.82183,1.3086869,.38317
1921,1.5604166,147.86155,1.3257924,.3929229999999997
1922,1.59294089,148.90128,1.343275,.4026759999999996
1923,1.72328818,149.941,1.3609385,.4124289999999995
1924,1.71986058,150.98072,1.3796194,.4221819999999994
1925,1.73308854,152.02045,1.3998974,.4319350000000028
1926,1.74448326,153.06017,1.4211909,.4416880000000027
1927,1.85918283,154.09989,1.4429184,.4514410000000026
1928,1.86467141,155.13962,1.4644982,.4611940000000025
1929,1.96922601,156.17934,1.4853488,.4709470000000024
1930,1.94887975,157.21906,1.5048887,.4807
1931,1.84334081,158.34545,1.5226236,.4890999999999988
1932,1.65922596,159.47183,1.5385172,.4975000000000005
1933,1.70158848,160.59821,1.5526746,.5058999999999987
1934,1.76986255,161.7246,1.5653127,.5143000000000004
1935,1.82171575,162.85098,1.5771213,.5226999999999986
1936,1.93129993,163.97736,1.5889151,.5311000000000003
1937,1.98869902,165.10375,1.6015088,.5394999999999985
1938,1.92388222,166.23013,1.615717,.5479000000000003
1939,1.97144376,167.35651,1.6323545,.5562999999999985
1940,2.06583237,168.4829,1.6522358,.5647
1941,2.08436458,170.03046,1.7002044,.5628689999999996
1942,2.1110497,171.57803,1.7938613,.5610379999999999
1943,2.1547656,173.12559,1.9231582,.5592069999999998
1944,2.15139864,174.67315,2.0866797,.5573759999999996
1945,1.92914739,176.22072,2.280402,.555545
1946,2.08014892,177.76828,2.4903635,.5537139999999998
1947,2.26217994,179.31584,2.7026031,.5518829999999997
1948,2.34413044,180.86341,2.9031595,.5500519999999995
1949,2.30112641,182.41097,3.0780722,.5482209999999998
1950,2.52233465,183.95853,3.2133815,.54639
1951,2.8565201,189.11003,3.3186021,.5539090000000009
1952,2.9056378,194.26153,3.4111061,.5614280000000011
1953,2.9455171,199.41303,3.4887221,.5689470000000014
1954,3.0171416,204.56453,3.5543489,.5764660000000017
1955,3.2341855,209.71603,3.614111,.583985000000002
1956,3.4226883,214.86753,3.6706801,.5915040000000005
1957,3.5418718,220.01902,3.7267318,.5990230000000007
1958,3.6495817,225.17052,3.7849451,.606542000000001
1959,3.6655957,230.32202,3.8480013,.6140610000000013
1960,3.7692833,235.47352,3.9185827,.62158
1961,3.8383218,238.52217,4.0240052,.642117000000006
