year,total_forcing_wm2,n2o_forcing_wm2,ch4_forcing_wm2,co2_forcing_wm2,n2o_concentration_ppb,ch4_concentration_ppb,co2_concentration_ppm,n2o_emissions_tg,ch4_emissions_tg,c_emissions_pg
2000,1.72349,.14452,.48518,1.54279,315.85,1751.0225,368.865,11.71767,300.13794,7.8838
2001,1.75954999999999,.1468979999999993,.485364,1.572190000000006,316.5679999999998,1751.565,370.8544999999999,11.78916999999998,301.928656,8.140339999999981
2002,1.795609999999996,.1492759999999995,.485548,1.601590000000009,317.2859999999998,1752.1075,372.8440000000001,11.86067,303.719372,8.396879999999953
2003,1.831670000000003,.1516539999999997,.485732,1.630990000000004,318.0039999999999,1752.65,374.8334999999997,11.93216999999999,305.510088,8.653419999999926
2004,1.867729999999995,.1540319999999999,.485916,1.660390000000007,318.7219999999998,1753.1925,376.8229999999999,12.00367,307.300804,8.909959999999899
2005,1.90379,.15641,.4861,1.68979,319.44,1753.735,378.8125,12.07517,309.09152,9.166499999999999
2006,1.94883200000001,.1585940000000008,.487806,1.719743999999999,320.1433080000002,1757.61356,380.9070420000007,12.123508,313.2388719999999,9.308779999999956
2007,1.993874000000005,.1607780000000005,.4895119999999999,1.749697999999995,320.846616,1761.49212,383.0015840000005,12.171846,317.3862239999999,9.451059999999984
2008,2.038916,.1629620000000003,.4912179999999999,1.779651999999999,321.5499240000001,1765.37068,385.0961260000004,12.220184,321.5335759999998,9.593339999999955
2009,2.08395800000001,.1651460000000009,.4929239999999999,1.809606000000002,322.2532320000003,1769.24924,387.1906680000002,12.268522,325.6809279999998,9.735619999999983
2010,2.129,.16733,.49463,1.83956,322.95654,1773.1278,389.28521,12.31686,329.82828,9.8779
2011,2.174457000000004,.1692740000000006,.4925800000000002,1.870997000000003,323.581716,1768.866819999999,391.5634719999998,12.24226400000001,322.148611999999,9.916150000000002
2012,2.219914000000003,.1712180000000005,.4905300000000006,1.902434,324.206892,1764.60584,393.8417340000005,12.16766799999999,314.4689440000002,9.954400000000007
2013,2.265371000000002,.1731620000000005,.48848,1.933870999999996,324.832068,1760.344859999999,396.1199960000004,12.09307200000001,306.7892759999995,9.992649999999998
2014,2.310828000000015,.1751060000000004,.4864300000000004,1.965308,325.4572440000001,1756.08388,398.3982580000002,12.01847599999999,299.1096079999988,10.0309
2015,2.356285000000014,.1770500000000004,.4843800000000007,1.996744999999997,326.0824200000001,1751.822899999999,400.67652,11.94388000000001,291.42994,10.06915000000001
2016,2.401742000000013,.1789940000000003,.4823300000000001,2.028182000000001,326.7075960000001,1747.56192,402.9547819999998,11.86928399999999,283.7502719999993,10.1074
2017,2.447199000000012,.1809380000000003,.4802800000000005,2.059618999999998,327.3327720000001,1743.300939999999,405.2330440000005,11.79468800000001,276.0706040000005,10.14565
2018,2.492656000000011,.1828820000000002,.4782299999999999,2.091056000000002,327.9579479999999,1739.03996,407.5113060000003,11.72009199999999,268.3909359999998,10.18390000000001
2019,2.53811300000001,.1848260000000006,.4761800000000003,2.122492999999999,328.5831239999999,1734.778979999999,409.7895680000001,11.64549600000001,260.7112679999991,10.22215
2020,2.58357,.18677,.47413,2.15393,329.2083,1730.518,412.06783,11.5709,253.0316,10.2604
2021,2.611377000000005,.1883460000000001,.4691320000000001,2.177990999999999,329.7171979999998,1717.487739999997,413.9393620000001,11.561739,251.066609,10.02893
