year,total_forcing_wm2,n2o_forcing_wm2,ch4_forcing_wm2,co2_forcing_wm2,n2o_concentration_ppb,ch4_concentration_ppb,co2_concentration_ppm,n2o_emissions_tg,ch4_emissions_tg,c_emissions_pg
2000,1.72349,.14452,.48518,1.54279,315.85,1751.0225,368.865,11.71767,300.54932,7.8838
2001,1.759775999999988,.1468979999999993,.485364,1.572190000000006,316.5679999999998,1751.565,370.8544999999999,11.78916999999998,300.7502020000001,8.140339999999981
2002,1.796061999999992,.1492759999999995,.485548,1.601590000000009,317.2859999999998,1752.1075,372.8440000000001,11.86067,300.951084,8.396879999999953
2003,1.832347999999996,.1516539999999997,.485732,1.630990000000004,318.0039999999999,1752.65,374.8334999999997,11.93216999999999,301.151966,8.653419999999926
2004,1.868634,.1540319999999999,.485916,1.660390000000007,318.7219999999998,1753.1925,376.8229999999999,12.00367,301.352848,8.909959999999899
2005,1.90492,.15641,.4861,1.68979,319.44,1753.735,378.8125,12.07517,301.55373,9.166499999999999
2006,1.949190000000002,.1586020000000001,.487244,1.719150000000006,320.1453040000001,1756.40756,380.8755700000002,12.132998,303.1144279999999,9.236799999999988
2007,1.993459999999999,.1607940000000001,.488388,1.748510000000003,320.850608,1759.08012,382.9386400000003,12.190826,304.6751259999996,9.307099999999991
2008,2.03773000000001,.1629860000000001,.4895320000000001,1.777870000000007,321.555912,1761.75268,385.0017100000005,12.248654,306.2358239999999,9.377399999999994
2009,2.082000000000008,.165178,.4906760000000001,1.807230000000004,322.2612160000001,1764.42524,387.0647799999997,12.306482,307.7965220000001,9.447699999999998
2010,2.12627,.16737,.49182,1.83659,322.96652,1767.0978,389.12785,12.36431,309.35722,9.518000000000001
2011,2.171527999999995,.1695780000000005,.4930810000000001,1.867094000000002,323.6682089999999,1770.53138,391.3279329999996,12.421998,310.9191839999999,9.587440000000015
2012,2.216785999999999,.171786,.4943420000000001,1.897598000000002,324.3698979999999,1773.964960000001,393.5280159999993,12.479686,312.4811479999998,9.656880000000001
2013,2.262044000000003,.1739940000000004,.495603,1.928102000000003,325.0715869999999,1777.398540000001,395.7280989999999,12.537374,314.0431119999998,9.726320000000015
2014,2.307302000000007,.176202,.496864,1.958605999999996,325.7732759999999,1780.832120000001,397.9281819999997,12.595062,315.6050759999998,9.795760000000001
2015,2.352559999999997,.1784100000000004,.4981249999999999,1.989109999999997,326.4749649999999,1784.265700000001,400.1282649999994,12.65275,317.1670399999998,9.865200000000016
2016,2.397818000000001,.1806180000000008,.4993859999999999,2.019613999999997,327.1766539999999,1787.699280000001,402.3283479999991,12.710438,318.7290039999998,9.934640000000002
2017,2.443076000000005,.1828260000000004,.5006470000000003,2.050117999999998,327.8783429999999,1791.132860000001,404.5284309999997,12.768126,320.2909679999998,10.00408000000002
2018,2.488333999999995,.1850340000000008,.5019080000000002,2.080621999999998,328.5800320000001,1794.566440000001,406.7285139999994,12.82581399999999,321.8529319999998,10.07352
2019,2.533591999999999,.1872420000000004,.5031690000000002,2.111125999999999,329.2817210000001,1798.00002,408.9285969999992,12.88350199999999,323.4148959999998,10.14296000000002
2020,2.57885,.18945,.50443,2.14163,329.98341,1801.4336,411.12868,12.94119,324.97686,10.2124
2021,2.621431000000001,.1916690000000001,.5054350000000003,2.172800000000002,330.69688,1804.28107,413.5204059999996,12.994068,325.663159,10.30812
2022,2.664012,.1938880000000003,.50644,2.203969999999998,331.4103499999999,1807.128540000001,415.9121319999995,13.04694600000001,326.3494579999999,10.40384
2023,2.706592999999998,.1961069999999996,.5074450000000001,2.235140000000001,332.12382,1809.97601,418.3038579999993,13.099824,327.0357570000001,10.49956
2024,2.749173999999996,.1983259999999998,.5084500000000003,2.266309999999997,332.8372899999999,1812.82348,420.6955840000001,13.15270200000001,327.7220560000001,10.59528
2025,2.791754999999995,.200545,.509455,2.29748,333.5507599999999,1815.670950000001,423.0873099999999,13.20558,328.408355,10.691
2026,2.834336000000008,.2027640000000002,.5104600000000001,2.328649999999996,334.26423,1818.51842,425.4790359999997,13.258458,329.094654,10.78672
2027,2.876917000000006,.2049830000000004,.5114650000000003,2.359819999999999,334.9776999999999,1821.36589,427.8707619999996,13.311336,329.780953,10.88244
2028,2.919498000000004,.2072019999999997,.5124700000000004,2.390990000000002,335.6911699999998,1824.21336,430.2624879999994,13.364214,330.4672520000001,10.97816
2029,2.962079000000003,.2094209999999999,.5134750000000001,2.422159999999998,336.40464,1827.06083,432.6542140000001,13.417092,331.1535510000001,11.07388
2030,3.00466,.21164,.51448,2.45333,337.11811,1829.9083,435.04594,13.46997,331.83985,11.1696
2031,3.045299999999997,.2137949999999993,.5148560000000001,2.484796000000003,337.8201779999999,1831.09776,437.6258449999996,13.48834,332.051123,11.20630000000001
2032,3.085940000000008,.2159499999999994,.515232,2.516262000000005,338.522246,1832.28722,440.2057500000001,13.50671,332.262396,11.24300000000001
2033,3.126580000000004,.2181049999999995,.5156080000000001,2.547728000000006,339.224314,1833.47668,442.7856549999997,13.52508,332.473669,11.27970000000001
