,date,year,co2_pg,ch4_tg,n2o_tg,hist_forcing_wm2,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,co2_step,ch4_step,n2o_step,ch4_co2_decay,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,historic_nonghg_forcings,total_forcing,t_os,t_eq,t_s
0,0.0,1765.0,0.01101,0.0,0.0,,,,,-0.2935266826469335,277.01467,721.89411,272.95961,0.01101,0.0,0.0,0.0,0.0,0.0,0.0,264.86123574732505,615.0915220234085,276.5807524348075,-0.24002461984091386,-0.06586806545618601,0.012366002650166406,-0.2935266826469335,0.0,,-0.2935266826469335,-0.022673256689044862,-0.2348213461175468,-0.08419620262331043
1,1.0,1766.0,0.03060154632,1.9632618999999998,0.005191085,,,,,-0.2930125370959747,277.01467,721.89411,272.95961,0.04023281280880877,1.9632618999999998,0.005191085,0.0,0.0,0.0,0.0,264.86492465802826,615.7715102126576,276.581407725903,-0.23995010710683512,-0.0654306629546748,0.012368232965535225,-0.2930125370959747,0.0,,-0.2930125370959747,-0.03922465817194519,-0.23441002967677976,-0.09582841590834723
2,2.0,1767.0,0.050193096310000004,2.4364481,0.010116813,,,,,-0.29239018742090184,277.01467,721.89411,272.95961,0.08617025762457303,4.212880928524372,0.015262561302539897,0.0,0.0,0.0,0.0002802436072134413,264.8707235225308,616.5506800064109,276.5826790880053,-0.2398329772697306,-0.06492977025229364,0.01237256010112242,-0.29239018742090184,0.0,,-0.29239018742090184,-0.05194951803197864,-0.23391214993672146,-0.10471868128435406
3,3.0,1768.0,0.06978464263,2.911105,0.015042803,,,,,-0.29166856273433117,277.01467,721.89411,272.95961,0.14762642940424348,6.723077301858929,0.030172067674910118,0.0,0.0,0.0,0.0006013629399981651,264.878481377031,617.4201024133567,276.58456117368945,-0.23967628228578342,-0.06437124629067915,0.012378965842131379,-0.29166856273433117,0.0,,-0.29166856273433117,-0.062133972798909594,-0.23333485018746494,-0.11178222724159065
4,4.0,1769.0,0.08937618894999999,3.3872782,0.019969063000000002,,,,,-0.2908545076860273,277.01467,721.89411,272.95961,0.22400409824476622,9.470570107070198,0.049877620849137064,0.0,0.0,0.0,0.0009596780921830956,264.88812283084707,618.3717139419005,276.5870486832421,-0.23948154831232424,-0.06376039150307357,0.012387432129370525,-0.2908545076860273,0.0,,-0.2908545076860273,-0.0705323403817484,-0.23268360614882183,-0.1175562074541997
5,5.0,1770.0,0.10896773894,3.8650146,0.024895601,,,,,-0.2899539379971132,277.01467,721.89411,272.95961,0.31487140327388785,12.43434080300994,0.07433761222100209,0.0,0.0,0.0,0.0013518658560903874,264.8995933684811,619.3982346872385,276.5901363642454,-0.2392498805160533,-0.06310199853909286,0.012397941058032942,-0.2899539379971132,0.0,,-0.2899539379971132,-0.07761424871064028,-0.23196315039769058,-0.12237543019988487
6,6.0,1771.0,0.13222928526,4.3443625,0.029822427000000002,,,,,-0.2889627492235147,277.01467,721.89411,272.95961,0.42354615209815527,15.595419327174692,0.1035108065778899,0.0,0.0,0.0,0.0017749259637528715,264.9133118098485,620.4930942481158,276.5938190114161,-0.2389728255005386,-0.06240039860032069,0.012410474877344573,-0.2889627492235147,0.0,,-0.2889627492235147,-0.08368794332168282,-0.23117019937881178,-0.12645779757825024
7,7.0,1772.0,0.15182083157999998,4.8253718,0.034749548,,,,,-0.28789619489180457,277.01467,721.89411,272.95961,0.5455889289589816,18.936690757188853,0.1373563358377473,0.0,0.0,0.0,0.00222615055497876,264.9287177500213,621.650364762806,276.5980914658153,-0.23866170718470353,-0.061659503695167484,0.012425015988066451,-0.28789619489180457,0.0,,-0.28789619489180457,-0.08896442265013187,-0.23031695591344364,-0.12995665729649228
8,8.0,1773.0,0.17141238157,5.308093799999999,0.039676975,,,,,-0.28675798016722426,277.01467,721.89411,272.95961,0.6809407386437412,22.44272017088018,0.1758336998427233,0.0,0.0,0.0,0.002703096579463009,264.9458037418015,622.8647002482908,276.60294861494873,-0.23831668189155064,-0.06088284521869271,0.012441546943019095,-0.28675798016722426,0.0,,-0.28675798016722426,-0.09359509378624353,-0.2294063841337794,-0.13298036798702895
9,9.0,1774.0,0.19100392789,5.7925816,0.044604715,,,,,-0.2855517404331449,277.01467,721.89411,272.95961,0.8294345717529152,26.099594573122772,0.21890275914587765,0.0,0.0,0.0,0.00320356079663611,264.96454870293525,624.1312818506192,276.6083853918559,-0.2379381818617078,-0.060073609015605614,0.012460050444168461,-0.2855517404331449,0.0,,-0.2855517404331449,-0.0976915126807431,-0.22844139234651592,-0.13560897778381723
