,date,year,co2_pg,ch4_tg,n2o_tg,hist_forcing_wm2,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,co2_step,ch4_step,n2o_step,ch4_co2_decay,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,historic_nonghg_forcings,total_forcing,t_os,t_eq,t_s
0,0.0,1765.0,0.01101,0.0,0.0,,,,,-0.29359351838014175,277.01467,721.89411,272.95961,0.01101,0.0,0.0,0.0,0.0,0.0,0.0,264.86123574732505,614.9876532231867,276.5807524348075,-0.24002461984091386,-0.06593490118939431,0.012366002650166406,-0.29359351838014175,0.0,,-0.29359351838014175,-0.022678419367004383,-0.2348748147041134,-0.084215374014766
1,1.0,1766.0,0.03060154632,1.9632618999999998,0.005191085,,,,,-0.29307933447377793,277.01467,721.89411,272.95961,0.04023281280880877,1.9632618999999998,0.005191085,0.0,0.0,0.0,0.0,264.86492465802826,615.6676414124358,276.581407725903,-0.23995010710683512,-0.06549746033247807,0.012368232965535225,-0.29307933447377793,0.0,,-0.29307933447377793,-0.03923358958753277,-0.23446346757902234,-0.09585025420506475
2,2.0,1767.0,0.050193096310000004,2.4364481,0.010116813,,,,,-0.2924569409282546,277.01467,721.89411,272.95961,0.08617025762457303,4.212880928524372,0.015262561302539897,0.0,0.0,0.0,0.0002802436072134413,264.8707235225308,616.4468112061891,276.5826790880053,-0.2398329772697306,-0.0649965237596464,0.01237256010112242,-0.2924569409282546,0.0,,-0.2924569409282546,-0.051961352965764276,-0.23396555274260367,-0.10474257090104772
3,3.0,1768.0,0.06978464263,2.911105,0.015042803,,,,,-0.29173526738941147,277.01467,721.89411,272.95961,0.14762642940424348,6.723077301858929,0.030172067674910118,0.0,0.0,0.0,0.0006013629399981651,264.878481377031,617.316233613135,276.58456117368945,-0.23967628228578342,-0.06443795094575941,0.012378965842131379,-0.29173526738941147,0.0,,-0.29173526738941147,-0.06214813871890898,-0.23338821391152917,-0.11180776052476885
4,4.0,1769.0,0.08937618894999999,3.3872782,0.019969063000000002,,,,,-0.29092115899087917,277.01467,721.89411,272.95961,0.22400409824476622,9.470570107070198,0.049877620849137064,0.0,0.0,0.0,0.0009596780921830956,264.88812283084707,618.2678451416787,276.5870486832421,-0.23948154831232424,-0.06382704280792549,0.012387432129370525,-0.29092115899087917,0.0,,-0.29092115899087917,-0.07054843646034462,-0.23273692719270334,-0.11758309877272866
5,5.0,1770.0,0.10896773894,3.8650146,0.024895601,,,,,-0.2900205318923983,277.01467,721.89411,272.95961,0.31487140327388785,12.43434080300994,0.07433761222100209,0.0,0.0,0.0,0.0013518658560903874,264.8995933684811,619.2943658870167,276.5901363642454,-0.2392498805160533,-0.0631685924343779,0.012397941058032942,-0.2900205318923983,0.0,,-0.2900205318923983,-0.07763198104679267,-0.23201642551391863,-0.1224034699422592
6,6.0,1771.0,0.13222928526,4.3443625,0.029822427000000002,,,,,-0.2890292820470989,277.01467,721.89411,272.95961,0.42354615209815527,15.595419327174692,0.1035108065778899,0.0,0.0,0.0,0.0017749259637528715,264.9133118098485,620.389225447894,276.5938190114161,-0.2389728255005386,-0.06246693142390487,0.012410474877344573,-0.2890292820470989,0.0,,-0.2890292820470989,-0.0837070882047996,-0.23122342563767911,-0.12648682606033468
7,7.0,1772.0,0.15182083157999998,4.8253718,0.034749548,,,,,-0.2879626633409117,277.01467,721.89411,272.95961,0.5455889289589816,18.936690757188853,0.1373563358377473,0.0,0.0,0.0,0.00222615055497876,264.9287177500213,621.5464959625842,276.5980914658153,-0.23866170718470353,-0.061725972144274596,0.012425015988066451,-0.2879626633409117,0.0,,-0.2879626633409117,-0.08898480457721672,-0.23037013067272935,-0.1299865491449154
8,8.0,1773.0,0.17141238157,5.308093799999999,0.039676975,,,,,-0.28682438126390014,277.01467,721.89411,272.95961,0.6809407386437412,22.44272017088018,0.1758336998427233,0.0,0.0,0.0,0.002703096579463009,264.9458037418015,622.760831448069,276.60294861494873,-0.23831668189155064,-0.06094924631536855,0.012441546943019095,-0.28682438126390014,0.0,,-0.28682438126390014,-0.09361657165359394,-0.2294595050111201,-0.13301102232727652
9,9.0,1774.0,0.19100392789,5.7925816,0.044604715,,,,,-0.28561807149277385,277.01467,721.89411,272.95961,0.8294345717529152,26.099594573122772,0.21890275914587765,0.0,0.0,0.0,0.00320356079663611,264.96454870293525,624.0274130503974,276.6083853918559,-0.2379381818617078,-0.060139940075234544,0.012460050444168461,-0.28561807149277385,0.0,,-0.28561807149277385,-0.09771397073151435,-0.22849445719421907,-0.13564031180569872
10,10.0,1775.0,0.21059547420999997,6.278889599999999,0.04953278,,,,,-0.28434715774535707,277.01467,721.89411,272.95961,0.9908637015169178,29.894779365329754,0.26652373686088743,0.0,0.0,0.0,0.0037255572116895266,264.98492653748855,625.3418993319874,276.61439677534383,-0.23752674107345348,-0.059300926015500716,0.012480509343597115,-0.28434715774535707,0.0,,-0.28434715774535707,-0.10136150926000459,-0.22747772619628565,-0.1379352121715261
11,11.0,1776.0,0.23018702053,6.7670743,0.05446118,,,,,-0.28301480671085577,277.01467,721.89411,272.95961,1.165010709294841,33.81698927367965,0.31865721349559906,0.0,0.0,0.0,0.004267296587475151,265.00690979985035,626.7003815667999,276.620977789335,-0.2370829212043934,-0.058434792147922285,0.012502906641459923,-0.28301480671085577,0.0,,-0.28301480671085577,-0.10462469631304727,-0.2264118453686846,-0.13994296953918212
12,12.0,1777.0,0.24977857051999997,7.2571937,0.059389923,,,,,-0.28162392348913623,277.01467,721.89411,272.95961,1.3516596445747546,37.856070960146035,0.37526412183070157,0.0,0.0,0.0,0.004827168020300428,265.0304712297375,628.099343081924,276.6281235022203,-0.23660728060057618,-0.05754386837251366,0.012527225483953587,-0.28162392348913623,0.0,,-0.28162392348913623,-0.10755533039783163,-0.22529913879130897,-0.14170103483194008
13,13.0,1778.0,0.26937011684,7.7493076,0.064319022,,,,,-0.2801771630522495,277.01467,721.89411,272.95961,1.5506009262412304,42.00289710456461,0.4363057488431278,0.0,0.0,0.0,0.005403722183372137,265.05558437090065,629.5356225722323,276.63582902710255,-0.23610036175634797,-0.056630250460211876,0.012553449164310317,-0.2801771630522495,0.0,,-0.2801771630522495,-0.1101950732333554,-0.22414173044179958,-0.1432396038238042
14,14.0,1779.0,0.28896166315999994,8.2434776,0.069248487,,,,,-0.2786769473525137,277.01467,721.89411,272.95961,1.761633167419714,46.24927056612432,0.5017437296126567,0.0,0.0,0.0,0.005995656207660431,265.0822238014819,631.006380906106,276.64408952102684,-0.23556268664043367,-0.05569582183242239,0.01258156112034239,-0.2786769473525137,0.0,,-0.2786769473525137,-0.112577932866627,-0.22294155788201095,-0.14458338412108834
15,15.0,1780.0,0.30855321315,8.7397674,0.07417833,,,,,-0.2771254837477015,277.01467,721.89411,272.95961,1.984563669418217,50.58783796509844,0.571540046281734,0.0,0.0,0.0,0.0066018000015388295,265.11036519636673,632.5090711939192,276.6529001848494,-0.23499475541732964,-0.05474227326452724,0.012611544934155405,-0.2771254837477015,0.0,,-0.2771254837477015,-0.11473203132063783,-0.22170038699816122,-0.1457528544671196
16,16.0,1781.0,0.33181475946999994,9.2382426,0.07910856200000001,,,,,-0.27551543504581777,277.01467,721.89411,272.95961,2.222878353245537,55.01201128836116,0.6456570240243759,0.0,0.0,0.0,0.007221103915105918,265.1404485970872,634.0414116356144,276.6622562627285,-0.23438769856860656,-0.05377112080778177,0.012643384330570578,-0.27551543504581777,0.0,,-0.27551543504581777,-0.11668089006322724,-0.22041234803665422,-0.14676301287552107
17,17.0,1782.0,0.35140630579,9.738970599999998,0.084039195,,,,,-0.2738591532376366,277.01467,721.89411,272.95961,2.472271913798659,59.515896855125774,0.7240573290502792,0.0,0.0,0.0,0.007852627549853074,265.1719305280313,635.6013609175361,276.67215304187283,-0.23375249434792966,-0.052783722066128,0.012677063176421066,-0.2738591532376366,0.0,,-0.2738591532376366,-0.11844366057490761,-0.21908732259010927,-0.1476303225593161
18,18.0,1783.0,0.37099785578,10.242021000000001,0.08897024099999999,,,,,-0.27215773241358227,277.01467,721.89411,272.95961,2.7328015903957152,64.09423144248649,0.8067039656263634,0.0,0.0,0.0,0.00849552961895893,265.20481821474357,637.1870960891074,276.68258585216546,-0.2330890070266876,-0.05178129086631518,0.012712565479420491,-0.27215773241358227,0.0,,-0.27215773241358227,-0.12003757203699734,-0.21772618593086582,-0.1483672700662192
19,19.0,1784.0,0.3905894021,10.747466000000001,0.093901714,,,,,-0.2704124389012452,277.01467,721.89411,272.95961,3.004405846157464,68.74232488941868,0.8935602751243242,0.0,0.0,0.0,0.00914905882960171,265.23910388918137,638.7969926833621,276.6935500660434,-0.23239740382094157,-0.05076491046820325,0.012749875387899621,-0.2704124389012452,0.0,,-0.2704124389012452,-0.12147732992885402,-0.21632995112099618,-0.14898459007457526
20,20.0,1785.0,0.41018096309999996,11.25538,0.098833627,,,,,-0.2686245410056054,277.01467,721.89411,272.95961,3.2869759055907393,73.45600776273069,0.9845899320765062,0.0,0.0,0.0,0.009812545690031985,265.2747738201861,640.429606590716,276.70504109799975,-0.2316779725706722,-0.04973554562418558,0.01278897718925239,-0.2686245410056054,0.0,,-0.2686245410056054,-0.12277562169846026,-0.21489963280448432,-0.14949158491920725
21,21.0,1786.0,0.42977248739999996,11.765839,0.10376599,,,,,-0.26679524233365026,277.01467,721.89411,272.95961,3.5803862561259154,78.23158340325864,1.0797569382662207,0.0,0.0,0.0,0.01048539503920808,265.31181216381196,642.0836574498626,276.71705440383806,-0.23093104400536496,-0.04869405363582379,0.012829855307538472,-0.26679524233365026,0.0,,-0.26679524233365026,-0.12394348469660393,-0.2134361938669202,-0.14989637035599565
22,22.0,1787.0,0.4493640484,12.278921,0.10869883,,,,,-0.2649256583288542,277.01467,721.89411,272.95961,3.8845077479159755,83.06578493546938,1.1790256368696779,0.0,0.0,0.0,0.011167079201683888,265.3502026169653,643.758013757777,276.72958548245697,-0.2301569583575966,-0.04764119428094847,0.012872494309690894,-0.2649256583288542,0.0,,-0.2649256583288542,-0.1249905863329395,-0.21194052666308333,-0.15020606902868122
23,23.0,1788.0,0.4689556094,12.794707,0.11363214,,,,,-0.26301681160222784,277.01467,721.89411,272.95961,4.199212872867581,87.95573736814043,1.282360675474408,0.0,0.0,0.0,0.011857131850993421,265.38992908379754,645.451679743047,276.7426298711824,-0.2293560519054379,-0.04657763858655495,0.012916878889765004,-0.26301681160222784,0.0,,-0.26301681160222784,-0.12592544378136802,-0.21041344928178227,-0.15042696537648817
24,24.0,1789.0,0.4885471337,13.313282000000001,0.11856595,,,,,-0.2610696341302846,277.01467,721.89411,272.95961,4.524377927036582,92.89892430163715,1.3897270404206632,0.0,0.0,0.0,0.012555142599754923,265.4309759486728,647.1637838347265,276.75618315010206,-0.22852865145666684,-0.045503976557434524,0.012962993883816774,-0.2610696341302846,0.0,,-0.2610696341302846,-0.12675559978633705,-0.2088557073042277,-0.15056463096652534
25,25.0,1790.0,0.5081386947,13.834732,0.12350027,,,,,-0.25908497266758146,277.01467,721.89411,272.95961,4.859883890978528,97.8931548034114,1.5010900338429007,0.0,0.0,0.0,0.013260752247338619,265.47332818729814,648.8935671894556,276.770240939168,-0.2276750721002337,-0.04442072482751677,0.013010824260168965,-0.25908497266758146,0.0,,-0.25908497266758146,-0.1274877653177767,-0.20726797813406517,-0.15062402703450034
26,26.0,1791.0,0.531400219,14.359145000000002,0.12843512,,,,,-0.2570542606349941,277.01467,721.89411,272.95961,5.209286448334444,102.93653443571327,1.6164152809117678,0.0,0.0,0.0,0.013973648051547206,265.5174346476172,650.6403736567254,276.78479889911,-0.22678628238950493,-0.043328333368133395,0.013060355122644227,-0.2570542606349941,0.0,,-0.2570542606349941,-0.12812793662842528,-0.20564340850799528,-0.1506074234735006
27,27.0,1792.0,0.5509917799999999,14.886613,0.13337052,,,,,-0.25498869973776017,277.01467,721.89411,272.95961,5.568346499375085,108.02744104038042,1.7356687270128457,0.0,0.0,0.0,0.01469355959299927,265.56276021138314,652.4036413917861,276.79985273108014,-0.22587308031914433,-0.0422271911280881,0.013111571709472258,-0.25498869973776017,0.0,,-0.25498869973776017,-0.1286807711446333,-0.20399095979020815,-0.15052072585185
28,28.0,1793.0,0.570583341,15.417231,0.13830648,,,,,-0.25288834536050286,277.01467,721.89411,272.95961,5.937184006903798,113.1645018280097,1.8588166249500322,0.0,0.0,0.0,0.015420255318556076,265.60932002197274,654.1828949203361,276.815398175037,-0.22493517339006427,-0.041117631358351336,0.013164459387912749,-0.25288834536050286,0.0,,-0.25288834536050286,-0.12915139561162584,-0.2023106762884023,-0.15036758700789102
29,29.0,1794.0,0.5901748653,15.951096,0.14324301,,,,,-0.2507535129341734,277.01467,721.89411,272.95961,6.315796879083627,118.34657164738192,1.9858255322606766,0.0,0.0,0.0,0.016153539270941673,265.6571138153252,655.977737612,276.8314310094068,-0.22397257993849365,-0.03999993664889538,0.013219003653215607,-0.2507535129341734,0.0,,-0.2507535129341734,-0.12954432480923045,-0.20060281034733873,-0.15015128561528185
30,30.0,1795.0,0.6097664263,16.488308,0.14818014,,,,,-0.24858459950867778,277.01467,721.89411,272.95961,6.704132767363274,123.57271432282477,2.116662328554178,0.0,0.0,0.0,0.01689324798683573,265.7061349832769,657.7878452164068,276.84794705327226,-0.22298544637260007,-0.038874343272256626,0.013275190136178902,-0.24858459950867778,0.0,,-0.24858459950867778,-0.1298635985022807,-0.19886767960694224,-0.14987478202263255
31,31.0,1796.0,0.6293579873,17.028971,0.15311788,,,,,-0.2463820095567714,277.01467,721.89411,272.95961,7.1021196823823525,128.84218676755998,2.2512941926991386,0.0,0.0,0.0,0.017639247832897175,265.7563744383274,659.6129603607455,276.8649421634928,-0.2219739692484161,-0.0377410449018168,0.013333004593461519,-0.2463820095567714,0.0,,-0.2463820095567714,-0.1301128636049578,-0.19710560764541712,-0.149540759376691
